country,year,indicator,value,source,jeu_donnees,source_file,theme,sub_dataset,region,area,network_type
LDCs,,Internet use (%),15.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
LLDCs,,Internet use (%),16.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
SIDS,,Internet use (%),17.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),1.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),1.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),1.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),1.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),2.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),2.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),2.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),2.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),3.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),3.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),3.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),3.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),4.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),4.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),4.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),4.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),5.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),5.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),5.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),5.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),6.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),6.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),6.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),6.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),7.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),7.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),7.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),7.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),8.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),8.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),8.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),8.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),9.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),9.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),9.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),9.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),12.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),12.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),12.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),12.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),13.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),13.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),13.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),13.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Male,,Internet use (%),14.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2019,,Internet use (%),14.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
2024,,Internet use (%),14.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
Female,,Internet use (%),14.0,ITU,03- InternetUse3&4,03- InternetUse3&4.csv,InternetUse,InternetUse,,,
78.51816800403265,,Internet use (%),1.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
,,Internet use (%),2.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
52.99112306321191,,Internet use (%),3.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
94.77512294243478,,Internet use (%),4.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
86.14164511118007,,Internet use (%),5.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
80.59576838370118,,Internet use (%),6.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
97.35568881765948,,Internet use (%),7.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
98.40445069235294,,Internet use (%),8.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
,,Internet use (%),9.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
42.60140384913575,,Internet use (%),10.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
70.63664465809086,,Internet use (%),11.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
96.75942111984548,,Internet use (%),12.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
98.8040650154324,,Internet use (%),13.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
,,Internet use (%),14.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
51.55170826223689,,Internet use (%),15.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
50.92780472025031,,Internet use (%),16.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
77.7533348255746,,Internet use (%),17.0,ITU,18- YouthInternetUse,18- YouthInternetUse.csv,InternetUse,InternetUse,,,
Low-income,,Internet use (%),2021.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Low-income,,Internet use (%),2022.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Low-income,,Internet use (%),2023.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Low-income,,Internet use (%),2024.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Lower-middle-income,,Internet use (%),2021.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Lower-middle-income,,Internet use (%),2022.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Lower-middle-income,,Internet use (%),2023.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Lower-middle-income,,Internet use (%),2024.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Upper-middle-income,,Internet use (%),2021.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Upper-middle-income,,Internet use (%),2022.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Upper-middle-income,,Internet use (%),2023.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
Upper-middle-income,,Internet use (%),2024.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
High-income,,Internet use (%),2021.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
High-income,,Internet use (%),2022.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
High-income,,Internet use (%),2023.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
High-income,,Internet use (%),2024.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
World,,Internet use (%),2021.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
World,,Internet use (%),2022.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
World,,Internet use (%),2023.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
World,,Internet use (%),2024.0,ITU,06- UrbRurInternetUse,06- UrbRurInternetUse.csv,InternetUse,InternetUse,,,
,2016.0,,,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2017.0,,,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2018.0,,,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2019.0,,,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2020.0,,9.2,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2021.0,,18.7,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2022.0,,32.0,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2023.0,,44.5,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2024.0,,51.2,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2015.0,,,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,5G
,2016.0,,63.8,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2017.0,,74.5,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2018.0,,79.3,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2019.0,,82.9,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2020.0,,76.1,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2021.0,,68.1,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2022.0,,57.3,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2023.0,,46.900000000000006,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2024.0,,40.6,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2015.0,,43.5,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,4G
,2016.0,,20.40000000000001,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2017.0,,13.200000000000005,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2018.0,,11.299999999999995,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2019.0,,9.699999999999989,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2020.0,,7.799999999999997,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2021.0,,7.0,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2022.0,,5.200000000000003,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2023.0,,4.0,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2024.0,,3.799999999999997,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2015.0,,34.5,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,3G
,2016.0,,11.299999999999995,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2017.0,,8.5,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2018.0,,5.900000000000006,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2019.0,,4.300000000000011,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2020.0,,3.9000000000000057,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2021.0,,3.5,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2022.0,,3.0,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2023.0,,2.299999999999997,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2024.0,,2.300000000000012,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,2015.0,,16.900000000000006,ITU,15- MobCoverage01,15- MobCoverage01.csv,MobCoverage,MobCoverage,,,2G
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,World,,3.799999999999997
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,World,,2.300000000000012
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,World,,51.2
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,World,,40.6
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,,,
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,,,
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,,,
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,,,
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Africa,,15.0
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Africa,,7.899999999999991
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Africa,,11.0
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Africa,,59.900000000000006
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Americas,,2.0
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Americas,,1.2000000000000028
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Americas,,63.4
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Americas,,30.300000000000004
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Arab States,,8.0
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Arab States,,2.5
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Arab States,,12.7
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Arab States,,74.2
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Asia-Pacific,,1.3999999999999917
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Asia-Pacific,,1.3000000000000114
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Asia-Pacific,,62.3
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Asia-Pacific,,33.900000000000006
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,CIS,,3.299999999999997
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,CIS,,1.5
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,CIS,,12.0
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,CIS,,82.3
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Europe,,0.1000000000000085
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Europe,,0.3999999999999915
,,,5G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Europe,,72.3
,,,4G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,Europe,,27.0
,,,3G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,,,
,,,2G,ITU,16- MobCoverage02,16- MobCoverage02.csv,MobCoverage,MobCoverage,,,
